ZIP,Neighborhood,Borough,Cases,"Cases per 100,000","Deaths per 100,000",Percent positive<br>(of people tested)
10038,Chinatown/Financial District,Manhattan,268,1215.53,127,8.26
10039,Central Harlem (North)/Washington Heights (South),Manhattan,568,2146.84,241.9,14.65
10040,Washington Heights (North),Manhattan,1205,2689.24,263.34,15.28
10044,Roosevelt Island,Manhattan,248,2119.61,307.68,12.27
10065,Lenox Hill/Upper East Side,Manhattan,339,1166.49,96.35,5.78
10069,Lincoln Square,Manhattan,63,993.98,31.56,6.26
10075,Lenox Hill/Upper East Side,Manhattan,433,1832.1,190.4,8.69
10128,Upper East Side/Yorkville,Manhattan,685,1116.51,66.83,6.44
10280,Battery Park City,Manhattan,62,644.58,0,5.77
10282,Battery Park City,Manhattan,79,1432.34,271.96,10.6
10301,Silver Lake/St. George,Staten Island,1269,3203.45,267.59,17.33
10302,Elm Park,Staten Island,654,3483.54,170.45,21.48
10303,Graniteville/Mariner's Harbor/Port Ivory,Staten Island,917,3495.78,171.55,19.66
10304,New Dorp/Todt Hill,Staten Island,1446,3406.46,428.75,18.15
10305,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,Staten Island,1315,3089.68,187.97,18.2
10306,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,Staten Island,1517,2825.71,152.74,16.07
